"","id","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","catch_trial"
"1",1,4,4,4,2,4,3,4,4,3
"2",2,2,2,2,1,2,2,2,2,3
"3",3,4,3,3,4,3,2,4,3,3
"4",4,4,4,3,2,3,4,4,3,3
"5",5,4,3,3,4,4,3,5,4,3
"6",6,5,4,5,4,5,4,5,4,3
"7",7,4,4,4,4,3,2,3,2,3
"8",8,4,2,3,3,4,2,4,2,3
"9",9,3,1,1,1,1,1,2,2,3
"10",10,4,4,4,3,4,3,4,4,3
"11",11,4,5,4,4,4,4,5,4,3
"12",12,3,2,2,2,2,2,4,3,3
"13",13,5,5,5,5,5,5,4,5,3
"14",14,4,4,4,4,4,3,4,3,3
"15",15,1,2,2,1,3,2,2,2,3
"16",16,4,4,4,4,4,4,4,4,3
"17",17,3,2,2,2,3,2,3,2,3
"18",18,2,2,2,2,2,2,2,2,3
"19",19,4,4,4,4,4,4,4,4,3
"20",20,1,1,1,1,1,1,3,1,3
"21",21,2,2,2,4,4,3,4,2,3
"22",22,2,2,2,4,2,2,2,2,3
"23",23,2,2,3,1,2,3,3,2,3
"24",24,4,3,2,4,4,3,3,4,3
"25",25,1,2,1,3,2,4,2,3,3
"26",26,1,1,1,1,1,1,1,1,3
"27",27,4,4,4,4,4,4,4,4,3
"28",28,2,2,3,2,2,4,4,2,3
"29",29,1,1,1,1,1,1,1,1,3
"30",30,3,2,2,2,2,2,3,3,2
"31",31,3,5,4,1,5,3,5,3,3
"32",32,2,4,4,2,4,4,4,4,3
"33",33,3,3,2,1,2,2,2,3,2
"34",34,3,3,1,2,1,1,2,2,2
"35",35,1,1,2,1,1,1,2,1,3
"36",36,2,2,2,2,2,2,2,2,3
"37",37,3,1,2,3,1,1,3,2,3
"38",38,3,3,3,2,3,2,3,2,3
"39",39,4,4,4,2,4,4,4,4,3
"40",40,2,2,2,2,2,2,2,2,3
"41",41,2,2,2,1,3,2,2,2,3
"42",42,3,2,3,3,3,2,3,2,3
"43",43,2,1,2,1,1,1,3,2,3
"44",44,2,1,2,1,1,1,3,2,3
"45",45,3,2,2,2,2,1,4,2,3
"46",46,3,2,2,2,2,2,3,2,3
"47",47,1,1,1,1,1,1,1,2,3
"48",48,3,2,2,2,2,2,3,2,3
"49",49,3,4,4,3,4,3,4,4,3
"50",50,5,5,5,4,5,4,5,4,3
"51",51,3,3,3,3,3,3,3,3,3
"52",52,4,4,4,2,4,4,5,3,3
"53",53,4,3,4,4,4,4,4,4,3
"54",54,1,1,1,1,1,1,2,1,3
"55",55,1,1,1,1,1,1,1,1,3
"56",56,3,3,3,3,3,3,3,3,3
"57",57,1,2,1,3,3,3,2,1,3
"58",58,5,5,5,1,5,5,5,5,3
"59",59,1,1,1,1,1,1,2,1,3
"60",60,4,2,4,2,2,3,4,3,3
"61",61,4,3,2,4,3,4,4,3,3
"62",62,3,2,2,2,2,2,4,2,3
"63",63,4,2,3,2,3,2,3,2,3
"64",64,2,2,2,2,3,2,2,2,3
"65",65,3,2,3,2,3,2,4,3,3
"66",66,3,2,2,1,2,2,3,3,3
"67",67,2,1,2,2,2,2,3,2,3
"68",68,2,2,2,1,1,2,3,1,3
"69",69,2,3,2,2,2,3,4,2,3
"70",70,1,1,1,1,1,1,1,1,3
"71",71,3,4,2,4,4,3,5,4,3
"72",72,4,3,1,2,2,3,4,2,3
"73",73,2,1,2,2,1,3,2,2,3
"74",74,3,2,2,2,2,2,3,2,3
"75",75,2,2,2,2,2,2,2,2,3
"76",76,1,1,1,1,1,1,2,1,3
"77",77,5,4,4,4,4,4,4,4,3
"78",78,2,2,2,2,2,2,2,2,3
"79",79,4,3,4,3,4,4,4,4,3
"80",80,3,1,2,1,2,2,3,2,3
"81",81,3,2,2,1,2,2,3,3,3
"82",82,2,2,4,2,4,4,2,2,3
"83",83,3,3,4,2,4,2,4,4,3
"84",84,2,1,2,2,2,2,2,2,3
"85",85,4,2,2,2,4,2,2,3,3
"86",86,3,2,2,1,1,1,2,1,3
"87",87,3,1,1,1,2,2,3,2,3
"88",88,4,3,4,3,2,3,4,4,3
"89",89,2,2,2,2,3,2,3,2,3
"90",90,3,3,3,3,3,3,3,3,3
"91",91,5,5,4,4,5,4,4,5,3
"92",92,3,2,2,3,3,2,4,3,3
"93",93,4,2,2,4,2,1,3,2,3
"94",94,3,2,3,2,2,2,3,3,3
"95",95,4,4,4,3,4,4,5,5,3
"96",96,2,2,2,2,2,2,3,2,3
"97",97,3,2,3,3,3,4,3,3,3
"98",98,4,2,2,4,2,2,4,3,3
"99",99,1,1,1,3,1,1,3,1,3
"100",100,2,2,2,2,2,2,2,2,3
"101",101,3,2,2,2,3,2,3,2,3
"102",102,3,2,2,2,3,2,3,2,3
"103",103,2,2,2,3,3,1,3,3,3
"104",104,3,2,3,2,2,2,3,1,3
"105",105,2,3,1,3,3,2,3,3,3
"106",106,1,1,1,2,1,1,3,1,3
"107",107,4,3,4,1,3,2,5,4,3
"108",108,5,5,4,3,4,4,4,4,3
"109",109,1,1,1,1,1,1,1,1,3
"110",110,1,1,1,1,1,1,1,1,3
"111",111,5,5,5,5,5,5,5,5,3
"112",112,3,3,2,1,2,2,4,3,3
"113",113,1,1,2,2,1,1,3,1,3
"114",114,5,1,5,5,5,5,5,5,3
"115",115,1,1,1,1,1,1,1,1,3
"116",116,2,1,1,1,1,1,1,1,3
"117",117,5,4,4,1,3,1,5,2,3
"118",118,3,2,3,2,3,3,3,3,3
"119",119,2,1,2,2,2,2,3,2,3
"120",120,3,3,2,1,4,4,5,4,3
"121",121,4,4,4,4,4,4,4,5,5
"122",122,4,2,4,2,2,2,4,3,3
"123",123,4,4,3,3,4,3,4,3,3
"124",124,2,5,2,1,2,4,4,4,3
"125",125,4,3,4,4,4,4,4,4,3
"126",126,1,1,1,1,1,5,3,1,3
"127",127,2,1,2,2,2,2,4,2,3
"128",128,2,2,2,2,2,2,2,2,3
"129",129,3,1,2,1,1,1,3,2,3
"130",130,3,3,4,2,4,3,4,4,3
"131",131,3,3,2,2,4,2,3,2,3
"132",132,4,3,4,4,3,3,5,4,3
"133",133,1,1,1,1,1,1,1,1,3
"134",134,2,2,1,1,2,1,3,2,3
"135",135,2,2,2,2,2,2,2,2,3
"136",136,5,2,4,3,4,2,4,4,3
"137",137,1,1,1,1,1,1,1,1,3
"138",138,1,1,4,1,2,1,1,1,3
"139",139,3,3,2,3,2,2,2,2,3
"140",140,4,2,1,2,1,3,2,3,3
"141",141,3,1,3,2,1,3,4,3,3
